max_size,c,time
65536,3, 0.000147000
65536,5, 0.000145733
65536,7, 0.000088333
65536,9, 0.000077667
65536,11, 0.000085800
65536,13, 0.000065067
65536,15, 0.000069867
65536,17, 0.000073067
65536,19, 0.000069800
65536,21, 0.000066533
65536,23, 0.000068933
65536,25, 0.000074667
65536,27, 0.000129733
65536,29, 0.000065733
65536,31, 0.000071400
131072,3, 0.000224000
131072,5, 0.000160800
131072,7, 0.000160067
131072,9, 0.000162267
131072,11, 0.000162267
131072,13, 0.000150400
131072,15, 0.000143400
131072,17, 0.000152067
131072,19, 0.000168733
131072,21, 0.000152733
131072,23, 0.000145067
131072,25, 0.000159867
131072,27, 0.000150800
131072,29, 0.000139800
131072,31, 0.000147267
262144,3, 0.000337067
262144,5, 0.000403600
262144,7, 0.000315000
262144,9, 0.000322333
262144,11, 0.000299933
262144,13, 0.000339267
262144,15, 0.000314667
262144,17, 0.000316333
262144,19, 0.000284333
262144,21, 0.000301800
262144,23, 0.000289800
262144,25, 0.000266867
262144,27, 0.000299533
262144,29, 0.000278000
262144,31, 0.000290600
524288,3, 0.001114467
524288,5, 0.000786200
524288,7, 0.000763133
524288,9, 0.000951467
524288,11, 0.000816267
524288,13, 0.000670600
524288,15, 0.000762067
524288,17, 0.000666467
524288,19, 0.000904067
524288,21, 0.000641333
524288,23, 0.000623933
524288,25, 0.000626667
524288,27, 0.000611400
524288,29, 0.000602333
524288,31, 0.000565733
1048576,3, 0.002210800
1048576,5, 0.001735333
1048576,7, 0.001336533
1048576,9, 0.001828800
1048576,11, 0.001251400
1048576,13, 0.001422800
1048576,15, 0.001356667
1048576,17, 0.001441533
1048576,19, 0.001262000
1048576,21, 0.001330400
1048576,23, 0.001137267
1048576,25, 0.001294733
1048576,27, 0.001112667
1048576,29, 0.001247867
1048576,31, 0.001333067
