epsilon,alpha,prob_empirica,array_size,c,time
0.125000, 0.250000, 0.875000, 65536, 32769, 0.049629
0.125000, 0.275000, 0.875000, 65536, 32769, 0.049447
0.125000, 0.300000, 0.875000, 65536, 32769, 0.049629
0.125000, 0.325000, 0.875000, 65536, 32769, 0.049556
0.125000, 0.350000, 0.875000, 65536, 32769, 0.049672
0.125000, 0.375000, 0.875000, 65536, 32769, 0.049695
0.125000, 0.400000, 0.875000, 65536, 32769, 0.049502
0.125000, 0.425000, 0.875000, 65536, 32769, 0.049456
0.125000, 0.450000, 0.875000, 65536, 32769, 0.049468
0.125000, 0.475000, 0.875000, 65536, 32769, 0.049457
0.125000, 0.500000, 0.875000, 65536, 32769, 0.049465
0.150000, 0.025000, 0.900000, 65536, 32769, 0.042480
0.150000, 0.050000, 0.900000, 65536, 32769, 0.042485
0.150000, 0.075000, 0.900000, 65536, 32769, 0.042278
0.150000, 0.100000, 0.900000, 65536, 32769, 0.042487
0.150000, 0.125000, 0.900000, 65536, 32769, 0.042477
0.150000, 0.150000, 0.900000, 65536, 32769, 0.042134
0.150000, 0.175000, 0.900000, 65536, 32769, 0.042487
0.150000, 0.200000, 0.900000, 65536, 32769, 0.042473
0.150000, 0.225000, 0.900000, 65536, 32769, 0.042284
0.150000, 0.250000, 0.900000, 65536, 32769, 0.042478
0.150000, 0.275000, 0.900000, 65536, 32769, 0.042464
0.150000, 0.300000, 0.900000, 65536, 32769, 0.042485
0.150000, 0.325000, 0.900000, 65536, 32769, 0.042481
0.150000, 0.350000, 0.900000, 65536, 32769, 0.042367
0.150000, 0.375000, 0.900000, 65536, 32769, 0.042470
0.150000, 0.400000, 0.900000, 65536, 32769, 0.042262
0.150000, 0.425000, 0.900000, 65536, 32769, 0.042475
0.150000, 0.450000, 0.900000, 65536, 32769, 0.042503
0.150000, 0.475000, 0.900000, 65536, 32769, 0.042533
0.150000, 0.500000, 0.900000, 65536, 32769, 0.042248
0.175000, 0.025000, 0.875000, 65536, 32769, 0.035518
0.175000, 0.050000, 0.875000, 65536, 32769, 0.035513
0.175000, 0.075000, 0.875000, 65536, 32769, 0.035318
0.175000, 0.100000, 0.875000, 65536, 32769, 0.035299
0.175000, 0.125000, 0.875000, 65536, 32769, 0.035303
0.175000, 0.150000, 0.875000, 65536, 32769, 0.035473
0.175000, 0.175000, 0.875000, 65536, 32769, 0.035320
0.175000, 0.200000, 0.875000, 65536, 32769, 0.035321
0.175000, 0.225000, 0.875000, 65536, 32769, 0.035316
0.175000, 0.250000, 0.875000, 65536, 32769, 0.035499
0.175000, 0.275000, 0.875000, 65536, 32769, 0.035313
0.175000, 0.300000, 0.875000, 65536, 32769, 0.035317
0.175000, 0.325000, 0.875000, 65536, 32769, 0.035312
0.175000, 0.350000, 0.875000, 65536, 32769, 0.035504
0.175000, 0.375000, 0.875000, 65536, 32769, 0.035305
0.175000, 0.400000, 0.875000, 65536, 32769, 0.035404
0.175000, 0.425000, 0.875000, 65536, 32769, 0.035402
0.175000, 0.450000, 0.875000, 65536, 32769, 0.035217
0.175000, 0.475000, 0.875000, 65536, 32769, 0.035779
0.175000, 0.500000, 0.875000, 65536, 32769, 0.035727
0.200000, 0.025000, 0.800000, 65536, 32769, 0.028231
0.200000, 0.050000, 0.800000, 65536, 32769, 0.028260
0.200000, 0.075000, 0.800000, 65536, 32769, 0.028330
0.200000, 0.100000, 0.800000, 65536, 32769, 0.028331
0.200000, 0.125000, 0.800000, 65536, 32769, 0.028114
0.200000, 0.150000, 0.800000, 65536, 32769, 0.028384
0.200000, 0.175000, 0.800000, 65536, 32769, 0.028415
0.200000, 0.200000, 0.800000, 65536, 32769, 0.028306
0.200000, 0.225000, 0.800000, 65536, 32769, 0.028310
0.200000, 0.250000, 0.800000, 65536, 32769, 0.028120
0.200000, 0.275000, 0.800000, 65536, 32769, 0.028324
0.200000, 0.300000, 0.800000, 65536, 32769, 0.028326
0.200000, 0.325000, 0.800000, 65536, 32769, 0.028327
0.200000, 0.350000, 0.800000, 65536, 32769, 0.028331
0.200000, 0.375000, 0.800000, 65536, 32769, 0.028122
0.200000, 0.400000, 0.800000, 65536, 32769, 0.028321
0.200000, 0.425000, 0.800000, 65536, 32769, 0.028297
0.200000, 0.450000, 0.800000, 65536, 32769, 0.028308
0.200000, 0.475000, 0.800000, 65536, 32769, 0.028307
0.200000, 0.500000, 0.800000, 65536, 32769, 0.028317
0.225000, 0.025000, 0.900000, 65536, 32769, 0.028332
0.225000, 0.050000, 0.900000, 65536, 32769, 0.028127
0.225000, 0.075000, 0.900000, 65536, 32769, 0.028338
0.225000, 0.100000, 0.900000, 65536, 32769, 0.028337
0.225000, 0.125000, 0.900000, 65536, 32769, 0.028341
0.225000, 0.150000, 0.900000, 65536, 32769, 0.028300
0.225000, 0.175000, 0.900000, 65536, 32769, 0.028287
0.225000, 0.200000, 0.900000, 65536, 32769, 0.028372
0.225000, 0.225000, 0.900000, 65536, 32769, 0.028249
0.225000, 0.250000, 0.900000, 65536, 32769, 0.028316
0.225000, 0.275000, 0.900000, 65536, 32769, 0.028115
0.225000, 0.300000, 0.900000, 65536, 32769, 0.028328
0.225000, 0.325000, 0.900000, 65536, 32769, 0.028338
0.225000, 0.350000, 0.900000, 65536, 32769, 0.028342
0.225000, 0.375000, 0.900000, 65536, 32769, 0.028130
0.225000, 0.400000, 0.900000, 65536, 32769, 0.028342
0.225000, 0.425000, 0.900000, 65536, 32769, 0.028338
0.225000, 0.450000, 0.900000, 65536, 32769, 0.028297
0.225000, 0.475000, 0.900000, 65536, 32769, 0.028309
0.225000, 0.500000, 0.900000, 65536, 32769, 0.028140
0.250000, 0.025000, 0.750000, 65536, 32769, 0.021358
0.250000, 0.050000, 0.750000, 65536, 32769, 0.021159
0.250000, 0.075000, 0.750000, 65536, 32769, 0.021154
0.250000, 0.100000, 0.750000, 65536, 32769, 0.021355
0.250000, 0.125000, 0.750000, 65536, 32769, 0.021157
0.250000, 0.150000, 0.750000, 65536, 32769, 0.021147
0.250000, 0.175000, 0.750000, 65536, 32769, 0.021360
0.250000, 0.200000, 0.750000, 65536, 32769, 0.021152
0.250000, 0.225000, 0.750000, 65536, 32769, 0.021156
0.250000, 0.250000, 0.750000, 65536, 32769, 0.021358
0.250000, 0.275000, 0.750000, 65536, 32769, 0.021151
0.250000, 0.300000, 0.750000, 65536, 32769, 0.021147
0.250000, 0.325000, 0.750000, 65536, 32769, 0.021347
0.250000, 0.350000, 0.750000, 65536, 32769, 0.021151
0.250000, 0.375000, 0.750000, 65536, 32769, 0.021148
0.250000, 0.400000, 0.750000, 65536, 32769, 0.021142
0.250000, 0.425000, 0.750000, 65536, 32769, 0.021347
0.250000, 0.450000, 0.750000, 65536, 32769, 0.021153
0.250000, 0.475000, 0.750000, 65536, 32769, 0.021295
0.250000, 0.500000, 0.750000, 65536, 32769, 0.021550
0.275000, 0.025000, 0.825000, 65536, 32769, 0.021154
0.275000, 0.050000, 0.825000, 65536, 32769, 0.021148
0.275000, 0.075000, 0.825000, 65536, 32769, 0.021354
0.275000, 0.100000, 0.825000, 65536, 32769, 0.021178
0.275000, 0.125000, 0.825000, 65536, 32769, 0.021125
0.275000, 0.150000, 0.825000, 65536, 32769, 0.021307
0.275000, 0.175000, 0.825000, 65536, 32769, 0.021269
0.275000, 0.200000, 0.825000, 65536, 32769, 0.021132
0.275000, 0.225000, 0.825000, 65536, 32769, 0.021354
0.275000, 0.250000, 0.825000, 65536, 32769, 0.021156
0.275000, 0.275000, 0.825000, 65536, 32769, 0.021350
0.275000, 0.300000, 0.825000, 65536, 32769, 0.021152
0.275000, 0.325000, 0.825000, 65536, 32769, 0.021349
0.275000, 0.350000, 0.825000, 65536, 32769, 0.021150
0.275000, 0.375000, 0.825000, 65536, 32769, 0.021264
0.275000, 0.400000, 0.825000, 65536, 32769, 0.021045
0.275000, 0.425000, 0.825000, 65536, 32769, 0.021351
0.275000, 0.450000, 0.825000, 65536, 32769, 0.021154
0.275000, 0.475000, 0.825000, 65536, 32769, 0.021280
0.275000, 0.500000, 0.825000, 65536, 32769, 0.021214
0.300000, 0.025000, 0.900000, 65536, 32769, 0.021149
0.300000, 0.050000, 0.900000, 65536, 32769, 0.021303
0.300000, 0.075000, 0.900000, 65536, 32769, 0.021122
0.300000, 0.100000, 0.900000, 65536, 32769, 0.021353
0.300000, 0.125000, 0.900000, 65536, 32769, 0.021111
0.300000, 0.150000, 0.900000, 65536, 32769, 0.021349
0.300000, 0.175000, 0.900000, 65536, 32769, 0.021154
0.300000, 0.200000, 0.900000, 65536, 32769, 0.021154
0.300000, 0.225000, 0.900000, 65536, 32769, 0.021352
0.300000, 0.250000, 0.900000, 65536, 32769, 0.021156
0.300000, 0.275000, 0.900000, 65536, 32769, 0.021147
0.300000, 0.300000, 0.900000, 65536, 32769, 0.021352
0.300000, 0.325000, 0.900000, 65536, 32769, 0.021151
0.300000, 0.350000, 0.900000, 65536, 32769, 0.021080
0.300000, 0.375000, 0.900000, 65536, 32769, 0.021352
0.300000, 0.400000, 0.900000, 65536, 32769, 0.021128
0.300000, 0.425000, 0.900000, 65536, 32769, 0.021330
0.300000, 0.450000, 0.900000, 65536, 32769, 0.021104
0.300000, 0.475000, 0.900000, 65536, 32769, 0.021345
0.300000, 0.500000, 0.900000, 65536, 32769, 0.021124
0.325000, 0.025000, 0.975000, 65536, 32769, 0.021306
0.325000, 0.050000, 0.975000, 65536, 32769, 0.021309
0.325000, 0.075000, 0.975000, 65536, 32769, 0.021153
0.325000, 0.100000, 0.975000, 65536, 32769, 0.021322
0.325000, 0.125000, 0.975000, 65536, 32769, 0.021096
0.325000, 0.150000, 0.975000, 65536, 32769, 0.021142
0.325000, 0.175000, 0.975000, 65536, 32769, 0.021336
0.325000, 0.200000, 0.975000, 65536, 32769, 0.021139
0.325000, 0.225000, 0.975000, 65536, 32769, 0.021349
0.325000, 0.250000, 0.975000, 65536, 32769, 0.021142
0.325000, 0.275000, 0.975000, 65536, 32769, 0.021133
0.325000, 0.300000, 0.975000, 65536, 32769, 0.021348
0.325000, 0.325000, 0.975000, 65536, 32769, 0.021135
0.325000, 0.350000, 0.975000, 65536, 32769, 0.021340
0.325000, 0.375000, 0.975000, 65536, 32769, 0.021144
0.325000, 0.400000, 0.975000, 65536, 32769, 0.021146
0.325000, 0.425000, 0.975000, 65536, 32769, 0.021340
0.325000, 0.450000, 0.975000, 65536, 32769, 0.021143
0.325000, 0.475000, 0.975000, 65536, 32769, 0.021142
0.325000, 0.500000, 0.975000, 65536, 32769, 0.021351
0.350000, 0.025000, 0.700000, 65536, 32769, 0.014157
0.350000, 0.050000, 0.700000, 65536, 32769, 0.014167
0.350000, 0.075000, 0.700000, 65536, 32769, 0.014127
0.350000, 0.100000, 0.700000, 65536, 32769, 0.014130
0.350000, 0.125000, 0.700000, 65536, 32769, 0.014459
0.350000, 0.150000, 0.700000, 65536, 32769, 0.014173
0.350000, 0.175000, 0.700000, 65536, 32769, 0.014176
0.350000, 0.200000, 0.700000, 65536, 32769, 0.014176
0.350000, 0.225000, 0.700000, 65536, 32769, 0.014176
0.350000, 0.250000, 0.700000, 65536, 32769, 0.014440
0.350000, 0.275000, 0.700000, 65536, 32769, 0.014099
0.350000, 0.300000, 0.700000, 65536, 32769, 0.014175
0.350000, 0.325000, 0.700000, 65536, 32769, 0.014374
0.350000, 0.350000, 0.700000, 65536, 32769, 0.014164
0.350000, 0.375000, 0.700000, 65536, 32769, 0.014167
0.350000, 0.400000, 0.700000, 65536, 32769, 0.014170
0.350000, 0.425000, 0.700000, 65536, 32769, 0.014166
0.350000, 0.450000, 0.700000, 65536, 32769, 0.014170
0.350000, 0.475000, 0.700000, 65536, 32769, 0.014172
0.350000, 0.500000, 0.700000, 65536, 32769, 0.014169
0.375000, 0.025000, 0.750000, 65536, 32769, 0.013969
0.375000, 0.050000, 0.750000, 65536, 32769, 0.014174
0.375000, 0.075000, 0.750000, 65536, 32769, 0.014172
0.375000, 0.100000, 0.750000, 65536, 32769, 0.014157
0.375000, 0.125000, 0.750000, 65536, 32769, 0.014170
0.375000, 0.150000, 0.750000, 65536, 32769, 0.014171
0.375000, 0.175000, 0.750000, 65536, 32769, 0.014169
0.375000, 0.200000, 0.750000, 65536, 32769, 0.014172
0.375000, 0.225000, 0.750000, 65536, 32769, 0.014173
0.375000, 0.250000, 0.750000, 65536, 32769, 0.013961
0.375000, 0.275000, 0.750000, 65536, 32769, 0.014155
0.375000, 0.300000, 0.750000, 65536, 32769, 0.014166
0.375000, 0.325000, 0.750000, 65536, 32769, 0.014166
0.375000, 0.350000, 0.750000, 65536, 32769, 0.014170
0.375000, 0.375000, 0.750000, 65536, 32769, 0.014152
0.375000, 0.400000, 0.750000, 65536, 32769, 0.013969
0.375000, 0.425000, 0.750000, 65536, 32769, 0.014171
0.375000, 0.450000, 0.750000, 65536, 32769, 0.014456
0.375000, 0.475000, 0.750000, 65536, 32769, 0.014154
0.375000, 0.500000, 0.750000, 65536, 32769, 0.014167
0.400000, 0.025000, 0.800000, 65536, 32769, 0.014332
0.400000, 0.050000, 0.800000, 65536, 32769, 0.014150
0.400000, 0.075000, 0.800000, 65536, 32769, 0.013960
0.400000, 0.100000, 0.800000, 65536, 32769, 0.014346
0.400000, 0.125000, 0.800000, 65536, 32769, 0.014146
0.400000, 0.150000, 0.800000, 65536, 32769, 0.014156
0.400000, 0.175000, 0.800000, 65536, 32769, 0.014154
0.400000, 0.200000, 0.800000, 65536, 32769, 0.014155
0.400000, 0.225000, 0.800000, 65536, 32769, 0.014148
0.400000, 0.250000, 0.800000, 65536, 32769, 0.014076
0.400000, 0.275000, 0.800000, 65536, 32769, 0.014187
0.400000, 0.300000, 0.800000, 65536, 32769, 0.014246
0.400000, 0.325000, 0.800000, 65536, 32769, 0.014018
0.400000, 0.350000, 0.800000, 65536, 32769, 0.014159
0.400000, 0.375000, 0.800000, 65536, 32769, 0.014259
0.400000, 0.400000, 0.800000, 65536, 32769, 0.014147
